Time,Date,Day of the week,CarCount,BikeCount,BusCount,TruckCount,Total
16,10,5,31,0,4,4,39
18,10,5,49,0,3,3,55
20,10,5,46,0,3,6,55
22,10,5,51,0,2,5,58
24,10,5,57,6,15,16,94
26,10,5,44,0,5,4,53
28,10,5,37,0,1,4,42
30,10,5,42,4,4,5,55
32,10,5,51,0,9,7,67
34,10,5,34,0,4,7,45
36,10,5,45,0,1,1,47
38,10,5,45,0,1,3,49
40,10,5,50,0,3,0,53
42,10,5,34,0,4,4,42
44,10,5,129,22,42,1,194
46,10,5,144,16,49,0,209
48,10,5,111,28,20,3,162
50,10,5,67,11,10,16,104
52,10,5,65,24,7,16,112
54,10,5,94,27,7,16,144
